word	total_count	line_end_count
me	940	348
it	1036	340
up	670	324
you	1591	253
shit	270	149
go	450	141
baby	276	128
rap	243	116
that	497	114
back	267	113
okay	161	109
rapper	137	107
like	779	103
out	254	103
time	216	95
love	267	87
now	227	86
know	346	85
flow	134	85
man	156	84
life	191	83
night	128	82
bitch	187	80
boy	127	77
girl	159	76
money	210	75
day	131	74
down	134	73
no	510	71
way	138	68
what	340	63
hop	128	63
game	119	63
fuck	370	60
but	372	58
one	212	58
star	79	58
right	126	56
tv	74	52
this	325	50
stop	100	45
mind	71	44
gang	84	43
want	169	42
good	144	42
run	98	42
fan	72	42
real	103	41
beat	82	41
do	293	40
more	134	40
all	354	39
style	49	37
say	156	36
dance	77	34
rhyme	63	34
daddy	38	34
here	79	33
party	65	33
high	62	33
city	81	32
top	71	32
team	68	32
club	54	32
away	40	32
work	74	31
name	55	31
bad	92	30
care	55	30
babe	41	30
off	66	29
mic	58	29
flex	49	29
again	43	29
i	2765	28
talk	99	28
face	40	28
am	62	27
thing	49	27
nobody	64	26
head	54	26
bag	40	26
god	89	25
damn	68	25
us	42	25
track	38	25
problem	35	25
wow	31	25
my	1196	24
be	442	24
y	58	24
b	77	23
play	73	23
wait	64	23
home	41	23
low	40	23
motherfucker	39	23
world	36	23
gamble	65	22
cool	41	22
nothing	39	22
lie	35	22
bro	33	22
alone	27	22
amen	23	22
so	360	21
too	149	21
check	58	21
die	46	21
alright	26	21
show	95	20
nah	42	20
mc	36	20
ballin	32	20
pain	29	20
mine	27	20
drama	24	20
s	191	19
why	101	19
body	56	19
hard	51	19
smoke	36	19
brr	33	19
myself	32	19
everyday	30	19
fame	30	19
hater	29	19
vibe	29	19
verse	26	19
plan	25	19
x	25	19
trip	22	19
from	126	18
girls	44	18
level	31	18
mercy	31	18
rappers	31	18
song	31	18
shine	30	18
problems	23	18
fine	22	18
at	138	17
k	54	17
dobag	45	17
mean	42	17
album	31	17
eo	30	17
fun	24	17
tonight	24	17
tight	23	17
tock	21	17
mode	20	17
swings	20	17
knows	19	17
feel	144	16
said	69	16
her	60	16
bitches	52	16
p	40	16
phone	40	16
hustle	36	16
type	35	16
ice	32	16
ok	29	16
something	29	16
fire	28	16
goes	27	16
boss	26	16
scene	22	16
thang	20	16
umm	20	16
vision	20	16
crazy	19	16
got	316	15
t	282	15
fake	70	15
la	55	15
e	53	15
boys	51	15
fly	45	15
swag	40	15
poppin	33	15
running	33	15
bling	30	15
ye	29	15
crew	25	15
war	22	15
flexin	21	15
eh	20	15
hoes	20	15
table	18	15
ho	17	15
get	343	14
see	139	14
better	100	14
always	89	14
them	56	14
yes	53	14
best	49	14
around	44	14
move	42	14
bang	41	14
fresh	40	14
there	39	14
king	35	14
homie	32	14
um	28	14
benz	22	14
side	22	14
sound	19	14
zone	18	14
clyde	15	14
take	147	13
going	73	13
ready	68	13
pay	55	13
break	37	13
rain	36	13
rich	36	13
mama	28	13
sorry	25	13
bye	24	13
kid	24	13
rockstar	21	13
stage	21	13
studio	21	13
blessed	19	13
featuring	17	13
ghost	17	13
paper	17	13
anymore	16	13
dough	16	13
mixtape	15	13
we	511	12
never	150	12
about	115	12
d	49	12
please	46	12
ass	44	12
everything	43	12
hot	43	12
done	35	12
heart	29	12
chain	28	12
kiss	28	12
deep	26	12
cold	25	12
dick	24	12
respect	24	12
block	23	12
line	22	12
sexy	22	12
sex	21	12
bless	20	12
bottom	20	12
season	18	12
morning	17	12
dm	15	12
tour	15	12
sky	14	12
limit	13	12
elevator	12	12
i'm	891	11
not	173	11
look	95	11
some	90	11
ride	42	11
round	36	11
over	35	11
cash	32	11
gone	32	11
jump	29	11
music	27	11
dream	24	11
trap	23	11
eyes	21	11
whatever	21	11
skrt	20	11
soul	19	11
energy	18	11
label	18	11
street	17	11
bewhy	16	11
bills	15	11
rolex	15	11
forward	13	11
nasty	13	11
question	12	11
wave	12	11
vivid	11	11
m	275	10
come	97	10
then	70	10
rock	46	10
whip	45	10
seoul	43	10
diamonds	41	10
bands	36	10
talkin	34	10
win	29	10
dead	24	10
sick	24	10
brother	23	10
ring	23	10
change	22	10
friends	20	10
cap	19	10
bae	17	10
crush	17	10
squad	17	10
deal	16	10
microphone	16	10
business	15	10
floor	15	10
nike	15	10
family	14	10
chart	13	10
groove	13	10
list	13	10
dna	12	10
fucker	12	10
hiphop	11	10
pasta	11	10
hid	10	10
stormy	10	10
wanna	219	9
need	171	9
call	128	9
pop	80	9
two	68	9
next	52	9
peace	38	9
g	37	9
people	34	9
fast	32	9
much	30	9
four	29	9
lost	28	9
c	27	9
forever	21	9
true	21	9
v	21	9
days	19	9
tag	17	9
understand	17	9
cd	16	9
times	16	9
homies	15	9
boo	13	9
lonely	13	9
sure	13	9
ey	12	9
battle	11	9
perfect	11	9
power	11	9
system	11	9
tattoo	11	9
adore	10	9
yesterday	10	9
rapstar	9	9
new	169	8
cause	113	8
only	82	8
hate	35	8
through	34	8
black	32	8
five	32	8
maybe	31	8
free	30	8
dopeboy	29	8
boom	25	8
slow	24	8
shot	23	8
straight	22	8
movie	19	8
busy	18	8
indigo	18	8
school	17	8
wanted	17	8
fashion	16	8
justhis	16	8
bruh	15	8
feet	15	8
heaven	15	8
cheese	14	8
gray	14	8
movin	14	8
noise	14	8
skrr	14	8
flower	13	8
rollie	13	8
stu	13	8
z	13	8
grind	12	8
mood	12	8
pocket	12	8
bars	11	8
copy	11	8
instagram	11	8
leader	11	8
rhyming	11	8
enemies	10	8
famous	10	8
hero	10	8
lesson	10	8
lifestyle	10	8
sober	10	8
yaho	10	8
bomb	9	8
career	9	8
hoo	9	8
location	9	8
pills	9	8
race	9	8
flavor	8	8
fool	8	8
gangstaz	8	8
lane	8	8
been	88	7
hit	56	7
step	43	7
walk	36	7
j	31	7
cut	29	7
air	21	7
different	21	7
prada	21	7
won	20	7
wrong	19	7
lose	18	7
set	18	7
haters	17	7
waiting	17	7
water	17	7
ap	16	7
drippin	16	7
rest	16	7
room	16	7
thru	16	7
aye	15	7
hae	15	7
pow	15	7
together	15	7
house	14	7
levitate	14	7
demons	13	7
fit	13	7
link	13	7
model	13	7
beast	12	7
friend	12	7
kind	12	7
lord	12	7
town	12	7
clothes	11	7
doubt	11	7
hoe	11	7
loud	11	7
moment	11	7
piece	11	7
camera	10	7
jeans	10	7
killer	10	7
trouble	10	7
cocky	9	7
fact	9	7
lady	9	7
legend	9	7
savage	9	7
flame	8	7
moshpit	8	7
twerk	8	7
beenzino	7	7
buddy	7	7
facts	7	7
joke	7	7
mac	7	7
recipe	7	7
veteran	7	7
drop	60	6
young	58	6
by	49	6
made	48	6
r	46	6
o	44	6
live	36	6
miss	34	6
gucci	28	6
three	27	6
dirty	25	6
dumb	25	6
things	23	6
kick	22	6
nice	22	6
bounce	21	6
drip	20	6
designer	19	6
fallin	19	6
drink	18	6
hunnit	17	6
